regionID,zipCode,city,lat,lon,yearlyDemand,minutesPerStop
76,49137,VILLARRÍN DE CAMPOS,41.7952,-5.639,129,24.431105960016914
77,02693,CORRAL-RUBIO,38.80875,-1.4303,1150,14.830849610365128
78,16700,SISANTE,39.4079,-2.2033,475,17.24368782538911
79,45890,CABEZAMESADA,39.8162,-3.1023,1194,12.370908875771054
80,31830,LAKUNTZA,42.9225,-2.0234,1801,17.074963709144434
81,15379,CURTIS (ESTACION),43.3218,-8.1063,900,17.17665706835231
82,43782,VILLALBA DE LOS ARCOS,41.1167,0.4167,661,12.516213905054467
83,45749,VILLAMUELAS,39.8187,-3.7346,2754,7.420281147350447
84,24690,BUSDONGO,42.9833,-5.7,415,25.853094073232548
85,23210,GUARROMAN,38.1828,-3.687,3989,15.447943900931987
86,32340,VILLAMARTIN DE VALDEORRAS,42.4343,-7.0483,1258,22.724347096699635
87,33830,BELMONTE DE MIRANDA,43.2825,-6.2182,206,26.25210207353364
88,03690,SAN VICENTE DEL RASPEIG,38.3964,-0.5255,12145,13.825246970904491
89,45770,ROMERAL (EL),39.7074,-3.434,903,7.6222285951686795
90,28024,MADRID,40.3921,-3.7728,185004,10.525352947271744
91,03114,ALICANTE,38.32723333333333,-0.5519,25227,14.009658084913955
92,44300,MONREAL DEL CAMPO,40.788,-1.3554,661,15.034094093072861
93,45940,VALMOJADO,40.2047,-4.0889,2710,8.265059209559494
94,15110,PUENTECESO,43.24974444444444,-8.899981481481483,626,17.71978768737888
95,15530,CERDIDO,43.6167,-8.0,1230,14.308311094819667
96,41340,TOCINA,37.6088,-5.7345,929,19.86402708623508
97,03802,ALCOY,38.7054,-0.4743,1113,15.166157274466295
98,03183,TORREVIEJA,37.9907,-0.666,2232,14.630889819827827
99,47851,SAN PEDRO DE LATARCE,41.7356,-5.3259,242,21.717017842020752
100,03190,PILAR DE LA HORADADA,37.8659,-0.7926,8531,13.278270520169292
101,43392,CASTELLVELL,41.1755,1.1016,22812,12.099973323416524
102,37671,SAN ESTEBAN DE LA SIERRA,40.5068,-5.9062,314,28.977897818397516
103,15404,EL FERROL,43.4911,-8.2173,9600,13.41905073872692
104,43371,MARGALEF,41.2849,0.7537,479,13.944985954265087
105,28590,VILLAREJO DE SALVANES,40.1666,-3.2728,3335,12.36634630569215
106,46850,"OLLERIA, L'",38.9395,-0.5214,3153,16.80707192363361
107,12080,CASTELLON DE LA PLANA,40.2108,0.0272,1368,17.89055810405606
108,23611,HIGUERA DE CALATRAVA,37.7985,-4.1574,788,15.034675966401574
109,03360,CALLOSA DE SEGURA,38.13390476190476,-0.8624,4245,16.293137871568646
110,29770,TORROX,36.7593,-3.9525,135,24.59786382690833
111,03158,CATRAL,38.16718888888889,-0.8034555555555555,4123,17.446149903323953
112,15959,PALMEIRA (RIBEIRA),42.5833,-8.95,2129,16.466172245189536
113,45542,CASAR DE ESCALONA (EL),40.0464,-4.5251,2131,6.894184986229414
114,34218,CEVICO DE LA TORRE,41.8511,-4.4097,681,15.205319466342168
115,34480,ALAR DEL REY,42.6604,-4.3127,471,19.916357562042947
116,32740,PARADA DEL SIL,42.3561,-7.535900000000001,275,21.75099997311596
117,17850,BESALU,42.200428571428574,2.696328571428571,1637,14.720857678266395
118,47260,CABEZON DE PISUERGA,41.7616,-4.6236,4025,16.445129674934517
119,46640,MOGENTE,38.8749,-0.7523,113,18.40038033046399
120,03530,"NUCIA, LA",38.611897727272726,-0.1164022727272727,15728,13.916909684435069
121,10910,MALPARTIDA DE CACERES,39.4466,-6.5076,3060,14.147839371492186
122,16841,ALBALATE DE LAS NOGUERAS,40.3661,-2.2772,220,17.53007085003017
123,14140,"VICTORIA, LA",37.6817,-4.8534,610,17.370611736568765
124,45100,SONSECA,39.6774,-3.9771,2366,7.804668047366469
125,47133,VEGA DE VALDETRONCO,41.5902,-5.12345,916,18.1953770812297
126,39292,SAN MIGUEL DE MERUELO,43.01005,-4.036816666666667,1588,12.723775828821024
127,10940,GARROVILLAS,39.7108,-6.5503,545,16.145564710029383
128,33720,BOAL,43.432,-6.8151,261,28.785024343415397
129,33590,COLOMBRES,43.376464285714285,-4.574921428571429,373,16.6501119158172
130,45164,GALVEZ,39.7021,-4.2724,2969,12.345990308781271
131,37240,LUMBRALES,40.9358,-6.7192,65,28.977897818397516
132,41110,CORIA DEL RIO,37.3401,-6.1372,3834,11.902210421746465
133,33780,TREVIAS,43.51730714285714,-6.408528571428571,432,26.58428663664602
134,31540,BUÑUEL,41.9732,-1.4832,231,21.00631085575081
135,03630,SAX,38.5366,-0.8204,5480,18.15643418158487
136,21330,VALDELAMUSA,37.78735,-6.883175,310,20.035944404117206
137,47210,ATAQUINES,41.1817,-4.8031,203,18.864572313483638
138,39795,ESCALANTE,43.4381,-3.5160400000000003,4729,12.847218624736557
139,03291,ELCHE,38.2622,-0.7011,7120,17.279679936988643
140,27740,MONDOÑEDO,43.3287,-7.2771,642,21.298542082082367
141,16670,"PROVENCIO, EL",39.3763,-2.5748,4762,15.211383101005673
142,40355,FUENTESAUCO DE FUENTIDUEÑA,41.4244,-4.0621,505,17.57895326793159
143,27880,BURELA,43.6607,-7.3614,1187,18.569614170240822
144,03749,"POBLETS, ELS",38.69119285714286,0.0007071428571428,7746,14.403460633812042
145,15614,CAMPOLONGO (PONTEDEUME),43.38567777777777,-8.230766666666666,2781,14.843131890525493
